Meter,SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,LongestBladeLength,LongestBladeWidth,SheathLength,ScannedBladeLength,ScannedBladeWidth,PrevalenceHand,GrazingScars,BrokenTip,EpiphyteDryMass,BladeAreaHand,Notes,Year,NumberLeaves,Prevalence,LesionArea,HealthyArea,BladeArea,Severity,EpiphytePerAreagcm2,EpiphytePerAreamgcm2,CanopyHeight,Epifauna_all,Epifauna_large,TempAnomWarm_April,TempAnomWarm_May,EpiphytePerAreaMeadowMg,TempAnomWarm_June,MonthlyMeanTemp_June,DensityLog,Ampithoid_all,Ampithoid_large,Lacuna_all,Lacuna_large,Idoteid_all,Idoteid_large,Latitude,Richness_all,Richness_large,TidalHeightBinary,YearBinary,Meadow
m16,2021-07-21,AK.A.6.L.19,AK,A,L,6,19,282,1.8,24,282,1.8,NA,N,N,0.001,5.076,NA,2021,5,1,0.1473084544,3.3741618112,5.076,0.0290205780929866,1.9700551615445234e-4,0.19700551615445233,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,0,1,AK_A
m20,2021-07-21,AK.A.6.L.20,AK,A,L,6,20,214,2.2,34,214,2.2,NA,N,N,8.0000000000002e-4,4.708,NA,2021,4,1,0.024539424,4.2737788928,4.708,0.00521228207306712,1.6992353440951997e-4,0.16992353440951996,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,0,1,AK_A
m4,2021-07-21,AK.A.1.U.16,AK,A,U,1,16,178,2.2,20,110,2.5,NA,N,N,2.9999999999996e-4,2.75,NA,2021,6,0,0,2.1812401856,2.75,0,1.0909090909089455e-4,0.10909090909089456,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m8,2021-07-21,AK.A.1.U.17,AK,A,U,1,17,279,2.5,32,279,2.5,NA,N,N,6.9999999999992e-4,6.975,NA,2021,5,1,0.069573312,5.90743936,6.975,0.00997466838709678,1.0035842293905664e-4,0.10035842293905664,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m12,2021-07-21,AK.A.1.U.18,AK,A,U,1,18,197,2.2,17,197,2.2,NA,N,N,9.0000000000001e-4,4.334,NA,2021,6,0,0,3.5901446976,4.334,0,2.0766035994462622e-4,0.20766035994462623,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m16,2021-07-21,AK.A.1.U.19,AK,A,U,1,19,212,2.5,18,212,2.5,NA,N,N,9.0000000000001e-4,5.3,NA,2021,5,1,0.127281408,2.583740672,5.3,0.02401536,1.6981132075471886e-4,0.16981132075471886,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m20,2021-07-21,AK.A.1.U.20,AK,A,U,1,20,227,1.9,15,188,2.1,NA,N,N,8.0000000000002e-4,3.948,NA,2021,6,1,0.8643450304,1.4206618624,3.948,0.21893237852077,2.0263424518744173e-4,0.20263424518744172,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m4,2021-07-21,AK.A.2.U.16,AK,A,U,2,16,251,2.4,14,251,2.4,NA,N,N,7.9999999999991e-4,6.024,NA,2021,5,1,0.0972228608,5.6177662912,6.024,0.0161392531208499,1.328021248339824e-4,0.1328021248339824,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m8,2021-07-21,AK.A.2.U.17,AK,A,U,2,17,114,1.6,41,114,1.6,NA,N,N,9.0000000000001e-4,1.824,NA,2021,4,1,0.361169984,1.052049152,1.824,0.198009859649123,4.934210526315844e-4,0.49342105263158437,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m12,2021-07-21,AK.A.2.U.18,AK,A,U,2,18,297,3,19,297,3,NA,N,N,0.002,8.91,NA,2021,5,1,3.191024,4.98249184,8.91,0.358139618406285,2.244668911335578e-4,0.2244668911335578,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m16,2021-07-21,AK.A.2.U.19,AK,A,U,2,19,327,2.1,22,291,2.9,NA,N,N,6.0000000000004e-4,8.439,NA,2021,5,0,0,7.9170294208,8.439,0,7.109847138287e-5,0.07109847138287,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m20,2021-07-21,AK.A.2.U.20,AK,A,U,2,20,299,2,14,299,2,NA,N,N,0.00049999999999994005,5.98,NA,2021,5,1,0.917576704,4.7651965888,5.98,0.153440920401338,8.361204013376923e-5,0.08361204013376923,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m4,2021-07-21,AK.A.3.U.16,AK,A,U,3,16,242,2,23,242,2,NA,N,N,0.00049999999999994005,4.84,NA,2021,4,1,0.419237632,2.9537376576,4.84,0.0866193454545455,1.0330578512395457e-4,0.10330578512395457,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m8,2021-07-21,AK.A.3.U.17,AK,A,U,3,17,221,2,46,203,2,NA,N,N,7.9999999999991e-4,4.06,LRA: Longest blade was almost always the 3rd blade; same lengths although not always transcribed into both columns on datasheet,2021,5,1,1.525039808,2.125311872,4.06,0.375625568472906,1.9704433497534733e-4,0.19704433497534732,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m12,2021-07-21,AK.A.3.U.18,AK,A,U,3,18,245,2,14,345,2,NA,N,N,0.00109999999999999,6.9,NA,2021,5,1,0.7545558272,3.4745487296,6.9,0.109355916985507,1.5942028985507103e-4,0.15942028985507103,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m16,2021-07-21,AK.A.3.U.19,AK,A,U,3,19,216,2,13,216,2,NA,N,N,6.9999999999992e-4,4.32,NA,2021,4,1,0.110921792,3.638486464,4.32,0.0256763407407407,1.620370370370185e-4,0.1620370370370185,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m20,2021-07-21,AK.A.3.U.20,AK,A,U,3,20,211,2,24,211,2,NA,N,N,0.00269999999999992,4.22,NA,2021,6,1,0.203506432,3.803341056,4.22,0.048224272985782,6.398104265402654e-4,0.6398104265402654,0.3580333333333333,0.7137122913351115,0.35399507460962687,12.88735353535353,1.6731515151515106,0.21997195662704333,2.6679191919192,11.190166666666666,2.945222316635341,-1.8653618078548357,-1.8849566616207074,0.37010532297593846,-0.13858499372787467,-0.9313923819803949,-0.9431776706619455,55.49666066666666,30,28,1,1,AK_A
m4,2021-07-25,AK.B.4.L.16,AK,B,L,4,16,444,4,20,444,4,NA,Y,Y,8.0000000000002e-4,17.76,NA,2021,5,1,0.1828681472,6.2496789312,17.76,0.0102966299099099,4.5045045045046164e-5,0.04504504504504617,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m8,2021-07-25,AK.B.4.L.17,AK,B,L,4,17,570,5,61,570,5,NA,Y,N,0.0551999999999999,28.5,NA,2021,5,1,0.02337088,25.095471168,28.5,8.2003087719298e-4,0.0019368421052631543,1.9368421052631544,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m12,2021-07-25,AK.B.4.L.18,AK,B,L,4,18,850,6,20,850,6,NA,Y,Y,0.00419999999999998,51,NA,2021,7,1,7.5854325888,24.357310912,51,0.148733972329412,8.235294117647019e-5,0.08235294117647018,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m16,2021-07-25,AK.B.4.L.19,AK,B,L,4,19,959,7,86,959,7,NA,N,N,0.00459999999999999,67.13,NA,2021,6,0,0,65.6273007104,67.13,0,6.852375986891092e-5,0.06852375986891092,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m20,2021-07-25,AK.B.4.L.20,AK,B,L,4,20,835,7,74,835,7,NA,Y,N,0.00750000000000006,58.45,NA,2021,5,1,1.244769024,57.3148539776,58.5596230016,0.0212564384843459,1.280745950122517e-4,0.1280745950122517,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m4,2021-07-25,AK.B.5.L.16,AK,B,L,5,16,374,4,96,374,4,NA,N,Y,7.0000000000003e-4,14.96,NA,2021,4,1,0.99236352,3.7635746048,14.96,0.0663344598930481,4.6791443850269384e-5,0.046791443850269385,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m8,2021-07-25,AK.B.5.L.17,AK,B,L,5,17,984,6,173,984,6,NA,N,N,0.00429999999999997,59.04,NA,2021,6,1,0.050696832,61.1749143616,61.2256111936,8.2803308961167e-4,7.02320469517739e-5,0.0702320469517739,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m12,2021-07-25,AK.B.5.L.18,AK,B,L,5,18,898,6,183,898,6,NA,Y,N,0.00239999999999996,53.88,NA,2021,4,1,0.917037376,52.717334464,53.88,0.0170199958426132,4.454342984409725e-5,0.04454342984409725,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m16,2021-07-25,AK.B.5.L.19,AK,B,L,5,19,521,5,188,521,5,NA,N,Y,0.00250000000000006,26.05,NA,2021,4,1,11.7225457664,10.9679899392,26.05,0.450001756867562,9.596928982725757e-5,0.09596928982725757,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m20,2021-07-25,AK.B.5.L.20,AK,B,L,5,20,674,4,198,674,4,NA,N,N,0.00119999999999998,26.96,NA,2021,3,0,0,27.8160033984,27.8183404864,0,4.313700885883697e-5,0.043137008858836964,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m4,2021-07-25,AK.B.6.L.16,AK,B,L,6,16,600,6,84,600,6,NA,Y,Y,0.00119999999999998,36,NA,2021,4,1,1.863198464,10.312041248,36,0.0517555128888889,3.333333333333278e-5,0.03333333333333278,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m8,2021-07-25,AK.B.6.L.17,AK,B,L,6,17,554,4,134,554,4,NA,N,N,0.00269999999999992,22.16,NA,2021,4,1,0.483956992,15.3747671168,22.16,0.0218392144404332,1.2184115523465342e-4,0.12184115523465341,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m12,2021-07-25,AK.B.6.L.18,AK,B,L,6,18,393,4,10,393,4,NA,Y,N,6.0000000000004e-4,15.72,NA,2021,6,0,0,14.8944416,15.72,0,3.816793893130025e-5,0.03816793893130025,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m16,2021-07-25,AK.B.6.L.19,AK,B,L,6,19,600,5,58,600,5,NA,Y,Y,0.00230000000000008,30,NA,2021,6,1,2.1792626496,27.598851968,30,0.07264208832,7.666666666666934e-5,0.07666666666666934,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m20,2021-07-25,AK.B.6.L.20,AK,B,L,6,20,411,4,12,411,4,NA,N,N,0.001,16.44,NA,2021,5,1,0.7993200512,9.5365954496,16.44,0.0486204410705596,6.08272506082725e-5,0.0608272506082725,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,0,1,AK_B
m4,2021-07-25,AK.B.1.U.16,AK,B,U,1,16,618,4,127,618,4,NA,N,N,0.00209999999999999,24.72,NA,2021,3,1,3.867071648,10.6198716928,24.72,0.156434937216828,8.49514563106792e-5,0.0849514563106792,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m8,2021-07-25,AK.B.1.U.17,AK,B,U,1,17,295,3,84,295,3,NA,N,N,0.00160000000000005,8.85,NA,2021,3,1,0.811508864,9.615678912,10.427187776,0.077826244375097,1.5344501646769328e-4,0.15344501646769326,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m12,2021-07-25,AK.B.1.U.18,AK,B,U,1,18,485,4,84,485,4,NA,N,N,0.00380000000000003,19.4,NA,2021,4,1,0.136449984,17.1707113792,19.4,0.00703350432989691,1.9587628865979536e-4,0.19587628865979537,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m16,2021-07-25,AK.B.1.U.19,AK,B,U,1,19,657,6,123,657,6,NA,Y,Y,9.0000000000001e-4,39.42,NA,2021,4,1,3.2141431936,24.9085400832,39.42,0.081535849660071,2.2831050228310754e-5,0.022831050228310754,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m20,2021-07-25,AK.B.1.U.20,AK,B,U,1,20,330,4,63,330,4,NA,N,Y,0.0102,13.2,NA,2021,3,1,1.869850176,5.4848938496,13.2,0.141655316363636,7.727272727272728e-4,0.7727272727272728,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m4,2021-07-25,AK.B.2.U.16,AK,B,U,2,16,804,5,54,804,5,NA,Y,Y,0.00159999999999993,40.2,NA,2021,5,1,8.208392384,26.1639338688,40.2,0.204188865273632,3.980099502487388e-5,0.03980099502487388,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m8,2021-07-25,AK.B.2.U.17,AK,B,U,2,17,395,4,26,395,4,NA,N,N,0.00409999999999999,15.8,NA,2021,5,1,3.043068352,12.0730909888,15.8,0.19259926278481,2.594936708860753e-4,0.2594936708860753,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m12,2021-07-25,AK.B.2.U.18,AK,B,U,2,18,514,5,57,514,5,NA,N,Y,0.00149999999999995,25.7,NA,2021,5,0,0,15.129588608,25.7,0,5.8365758754861866e-5,0.058365758754861864,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m16,2021-07-25,AK.B.2.U.19,AK,B,U,2,19,634,5,38,634,5,NA,N,Y,0.00190000000000001,31.7,NA,2021,5,1,3.344013376,23.5645167296,31.7,0.105489380946372,5.993690851735047e-5,0.05993690851735047,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m20,2021-07-25,AK.B.2.U.20,AK,B,U,2,20,212,3,14,212,3,NA,N,N,0.00160000000000005,6.36,NA,2021,5,0,0,5.0780068288,6.36,0,2.51572327044033e-4,0.251572327044033,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m4,2021-07-25,AK.B.3.U.16,AK,B,U,3,16,879,4.5,129,879,4.5,NA,N,Y,8.9999999999995e-4,39.555,NA,2021,4,1,0.106427392,10.2265218048,39.555,0.00269061792440905,2.2753128555175074e-5,0.022753128555175074,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m8,2021-07-25,AK.B.3.U.17,AK,B,U,3,17,384,3,69,384,3,NA,Y,N,0.00529999999999997,11.52,"2nd rank, no 3rd rank",2021,2,0,0,8.4264247168,11.52,0,4.600694444444418e-4,0.4600694444444418,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m12,2021-07-25,AK.B.3.U.18,AK,B,U,3,18,642,4.5,82,642,4.5,NA,N,Y,0.00530000000000008,28.89,NA,2021,6,0,0,20.3808995008,28.89,0,1.8345448251990584e-4,0.18345448251990584,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m16,2021-07-25,AK.B.3.U.19,AK,B,U,3,19,670,4.5,109,670,4.5,NA,N,Y,0.00409999999999999,30.15,NA,2021,5,1,0.933846432,11.5563428544,30.15,0.0309733476616915,1.3598673300165804e-4,0.13598673300165803,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m20,2021-07-25,AK.B.3.U.20,AK,B,U,3,20,631,4.5,138,631,4.5,NA,N,N,0.00290000000000001,28.395,NA,2021,4,0,0,15.48455632,28.395,0,1.0213065680577603e-4,0.10213065680577603,0.6803666666666667,-0.12155474790018828,-0.3993719899430532,7.331262626262642,0.19569696969692885,0.18985810668067046,6.285212121212002,11.105,2.510545010206612,-2,-2,-0.6288489673484504,-1.152995650193663,-1.6132784508150024,-1.6132784508150024,55.73959433333333,26,23,1,1,AK_B
m4,2021-07-26,AK.C.4.L.16,AK,C,L,4,16,544,4,42,544,4,NA,N,Y,0.00220000000000009,21.76,NA,2021,4,1,0.5080829312,17.6064884032,21.76,0.0233493994117647,1.0110294117647471e-4,0.10110294117647471,0.8318666666666666,-0.3783957962255127,-0.4583935887960231,7.948060606060621,0.15820202020205087,0.08476056242920173,5.505404040403805,11.075566666666669,2.6446026909177047,-1.9597500244941954,-1.9597500244941954,-1.3598000807196446,-1.658459596740773,-1.685492208318503,-1.685492208318503,55.7073165,21,20,0,1,AK_C
m8,2021-07-26,AK.C.4.L.17,AK,C,L,4,17,672,5,86,672,5,NA,Y,N,0.00160000000000005,33.6,NA,2021,5,1,4.2842957888,28.2175690496,33.6,0.127508803238095,4.7619047619049104e-5,0.0476190476190491,0.8318666666666666,-0.3783957962255127,-0.4583935887960231,7.948060606060621,0.15820202020205087,0.08476056242920173,5.505404040403805,11.075566666666669,2.6446026909177047,-1.9597500244941954,-1.9597500244941954,-1.3598000807196446,-1.658459596740773,-1.685492208318503,-1.685492208318503,55.7073165,21,20,0,1,AK_C
m12,2021-07-26,AK.C.4.L.18,AK,C,L,4,18,783,6,26,783,6,NA,Y,N,0.00290000000000001,46.98,NA,2021,5,1,0.609260864,33.9461672448,46.98,0.0129685156236696,6.172839506172861e-5,0.061728395061728614,0.8318666666666666,-0.3783957962255127,-0.4583935887960231,7.948060606060621,0.15820202020205087,0.08476056242920173,5.505404040403805,11.075566666666669,2.6446026909177047,-1.9597500244941954,-1.9597500244941954,-1.3598000807196446,-1.658459596740773,-1.685492208318503,-1.685492208318503,55.7073165,21,20,0,1,AK_C
m16,2021-07-26,AK.C.4.L.19,AK,C,L,4,19,716,6,22,716,6,NA,Y,N,0.002,42.96,NA,2021,5,0,0,34.8907822592,42.96,0,4.6554934823091246e-5,0.04655493482309125,0.8318666666666666,-0.3783957962255127,-0.4583935887960231,7.948060606060621,0.15820202020205087,0.08476056242920173,5.505404040403805,11.075566666666669,2.6446026909177047,-1.9597500244941954,-1.9597500244941954,-1.3598000807196446,-1.658459596740773,-1.685492208318503,-1.685492208318503,55.7073165,21,20,0,1,AK_C
